Date,lag_0,lag_1,lag_2,lag_3,rolling_mean_4w,vaksin_persen,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12
2020-06-07 00:00:00+00:00,-0.6033017887303997,-0.6094631461751252,-0.6022755617870503,-0.6178311720399915,-0.657415888143811,-0.7828868433145798,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-14 00:00:00+00:00,-0.5736139401585812,-0.6030842760844476,-0.6092028494200661,-0.6019197684373141,-0.6452429058817566,-0.7828868433145798,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-21 00:00:00+00:00,-0.5670846109731056,-0.5733994364061082,-0.6028247521579561,-0.6088459088290678,-0.6356063832099113,-0.7828868433145798,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-28 00:00:00+00:00,-0.5607800005741281,-0.5668707689747493,-0.5731435089303677,-0.6024688678557595,-0.6223945318603775,-0.7828868433145798,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-05 00:00:00+00:00,-0.5405553097892897,-0.5605667975544123,-0.5666156324761924,-0.5727925401952365,-0.6054420772056017,-0.7828868433145798,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-12 00:00:00+00:00,-0.5129523521810934,-0.5403441565624402,-0.560312424810115,-0.5662657448350794,-0.589052905465141,-0.7828868433145798,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-19 00:00:00+00:00,-0.5270347294683143,-0.5127439965419152,-0.5400922338813121,-0.5599635810551954,-0.5782324767877592,-0.7828868433145798,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-26 00:00:00+00:00,-0.5091196484335963,-0.526824946565955,-0.5124954177432979,-0.5397467388306171,-0.5642752031384433,-0.7828868433145798,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-02 00:00:00+00:00,-0.5038762100819714,-0.5089116812428192,-0.5265746617974273,-0.5121544930537388,-0.5543654713883972,-0.7828868433145798,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-09 00:00:00+00:00,-0.48809595751898627,-0.5036687743189746,-0.5086635667462963,-0.5262314054175193,-0.5476499247871918,-0.7828868433145798,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-16 00:00:00+00:00,-0.4854492695891185,-0.4878901211005469,-0.5034212950240141,-0.508323276656859,-0.5364146230651349,-0.7828868433145798,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-23 00:00:00+00:00,-0.48753416055274074,-0.4852437014151777,-0.4876445534598124,-0.5030818731171535,-0.5305827897786034,-0.7828868433145798,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-30 00:00:00+00:00,-0.4309549638633036,-0.48732838107299215,-0.48499845439999373,-0.48730774436908736,-0.5108813795839067,-0.7828868433145798,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-06 00:00:00+00:00,-0.3867852379393785,-0.4307549187423638,-0.48708288148956785,-0.48466208353475987,-0.48350987749009344,-0.7828868433145798,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-13 00:00:00+00:00,-0.35910737406901616,-0.3865896694648345,-0.4305162732862749,-0.48674616541840465,-0.44937560747291655,-0.7828868433145798,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-20 00:00:00+00:00,-0.3338764480960787,-0.35891461077396886,-0.3863563748257166,-0.4301889253185349,-0.40786131939273745,-0.7828868433145798,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-27 00:00:00+00:00,-0.28090523636764053,-0.3336862419808974,-0.35868466909166974,-0.38603634026263484,-0.3673218143199658,-0.7828868433145798,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-04 00:00:00+00:00,-0.3090200534339716,-0.28072039893834316,-0.33345935682802125,-0.3583692172923323,-0.34631169891117186,-0.7828868433145798,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-11 00:00:00+00:00,-0.2882210813058599,-0.30883236653952917,-0.280499930833632,-0.333148082640559,-0.3271600798244594,-0.7828868433145798,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-18 00:00:00+00:00,-0.30735963128929045,-0.2880355024082788,-0.30860849254453576,-0.28019742735729614,-0.31999593066275156,-0.7828868433145798,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-25 00:00:00+00:00,-0.31451317932614997,-0.3071721126803117,-0.2878141480461496,-0.3083013339559075,-0.3290759163234472,-0.7828868433145798,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-01 00:00:00+00:00,-0.37410111087925757,-0.3143249356978426,-0.3069484398324797,-0.287510433248409,-0.34665911292419255,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-08 00:00:00+00:00,-0.3508801696077763,-0.37390682795381985,-0.3141003962535933,-0.30664155616833405,-0.36358795691788925,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-15 00:00:00+00:00,-0.2951374261791936,-0.3506882401482222,-0.37367506989752913,-0.31379232814036084,-0.3602858373184015,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-22 00:00:00+00:00,-0.2806805175811423,-0.29495114630306435,-0.35045929512742213,-0.37335713550944255,-0.3511451385292168,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-29 00:00:00+00:00,-0.20523742720288357,-0.2804957029273213,-0.29472895407982663,-0.35014520554788964,-0.30552259542127863,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-06 00:00:00+00:00,-0.1436644797023752,-0.20506025878257572,-0.2802752620455342,-0.2944240941079253,-0.24953834505120928,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,0,1
2020-12-13 00:00:00+00:00,-0.1374971974507022,-0.1434935517625716,-0.20484895724136407,-0.27997279577702305,-0.20694808541614088,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,0,1
2020-12-20 00:00:00+00:00,-0.0740016558879314,-0.1373268945711924,-0.14328970930256427,-0.20455898246645093,-0.15110887196412873,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,0,1
2020-12-27 00:00:00+00:00,-0.057459856326257906,-0.07383778834577857,-0.13712379922921328,-0.1430099294716236,-0.11118324407941306,-0.7828868433145798,0,0,0,0,0,0,0,0,0,0,0,1
