Date,kasus_baru_mingguan,vaksin_persen
2021-03-14 00:00:00+00:00,39793.0,0.0
2021-03-21 00:00:00+00:00,40729.0,2.0478529924494024
2021-03-28 00:00:00+00:00,35901.0,2.680642856853922
2021-04-04 00:00:00+00:00,38170.0,3.193581386904913
2021-04-11 00:00:00+00:00,32740.0,3.71777549027907
2021-04-18 00:00:00+00:00,37353.0,4.007498899433053
2021-04-25 00:00:00+00:00,36846.0,4.342617653466512
2021-05-02 00:00:00+00:00,36080.0,4.6102825370958636
2021-05-09 00:00:00+00:00,36410.0,4.937366248469299
2021-05-16 00:00:00+00:00,26066.0,5.084158717062566
2021-05-23 00:00:00+00:00,35470.0,5.5109981991859875
2021-05-30 00:00:00+00:00,40821.0,6.034220443961958
2021-06-06 00:00:00+00:00,39997.0,6.529736206599847
2021-06-13 00:00:00+00:00,55320.0,7.460638329680469
2021-06-20 00:00:00+00:00,78551.0,8.528141359253501
2021-06-27 00:00:00+00:00,125395.0,10.03529604643
2021-07-04 00:00:00+00:00,168780.0,11.86649895974676
2021-07-11 00:00:00+00:00,243119.0,13.42209224894397
2021-07-18 00:00:00+00:00,350273.0,15.42296812817854
2021-07-25 00:00:00+00:00,289029.0,16.457930918891897
2021-08-01 00:00:00+00:00,273891.0,17.57123602319947
2021-08-08 00:00:00+00:00,225635.0,18.68882603948336
2021-08-15 00:00:00+00:00,188323.0,19.869483239208556
2021-08-22 00:00:00+00:00,125102.0,21.220753435635796
2021-08-29 00:00:00+00:00,94375.0,22.81783205977728
2021-09-05 00:00:00+00:00,55189.0,24.715656879245017
2021-09-12 00:00:00+00:00,38491.0,26.930103681657585
2021-09-19 00:00:00+00:00,23252.0,29.427906479978972
2021-09-26 00:00:00+00:00,17250.0,31.998309262111846
2021-10-03 00:00:00+00:00,11271.0,34.70728590511143
2021-10-10 00:00:00+00:00,8648.0,37.03109936781561
2021-10-17 00:00:00+00:00,6826.0,39.78596209617494
2021-10-24 00:00:00+00:00,5261.0,41.83239430981306
2021-10-31 00:00:00+00:00,4339.0,44.28590426392671
2021-11-07 00:00:00+00:00,3807.0,46.30057342951102
2021-11-14 00:00:00+00:00,2690.0,48.21667518609658
